now爆谷台,#genre#
凤凰中文,http://api.mytv666.top/api/qwt.php?t=香港频道&id=凤凰中文台
凤凰资讯,http://api.mytv666.top/api/qwt.php?t=香港频道&id=凤凰资讯台
凤凰香港,http://api.mytv666.top/api/qwt.php?t=香港频道&id=凤凰香港台
TVBPlus,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVBPlus
HOY78,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HOY78
无线新闻台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB无线新闻台
Now新闻台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now新闻台
翡翠台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=翡翠台
明珠台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB明珠台
娱乐新闻台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB娱乐新闻
TVB生活台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB生活台
星河国,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB星河频道(国)
星河粤,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB星河频道(粤)
功夫台国,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB功夫台(国)
功夫台粤,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB功夫台(粤)
明珠剧集台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVBPearlDrama明珠劇集台
TVB1,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB1
无线千禧台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB千禧经典
无线经典台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=MyTV千禧经典台
TVBS,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVBSuperFree
无线亚洲综合台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=亚洲综合娱乐台
无线亚洲剧台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=亚洲剧台
无线华语剧台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=华语剧台
无线戏曲台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=戏曲台
无线粤语片台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=粤语片台
无线少儿,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HandsUP
HOY77,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HOY77
HOY76,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HOY76
有线赛马,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HKC18台
28aI赛马,http://api.mytv666.top/api/qwt.php?t=香港频道&id=28AI智慧赛马
黄金翡翠台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=黄金翡翠台
黄金华剧台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=黃金華劇台
POPC,http://api.mytv666.top/api/qwt.php?t=香港频道&id=POPC
Now爆谷台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now爆谷台
Now星影台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now星影台
Now华剧台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now華劇台
Now剧集台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now劇集台
Now紫金台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=NowJelli紫金国际
Now直播台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now直播台
Now财经台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now财经台
VIUTV-粤,http://api.mytv666.top/api/qwt.php?t=香港频道&id=ViuTV
VIUTV-英,http://api.mytv666.top/api/qwt.php?t=香港频道&id=ViuTV6
RTHK-31,http://api.mytv666.top/api/qwt.php?t=香港频道&id=RTHK31
RTHK-32,http://api.mytv666.top/api/qwt.php?t=香港频道&id=RTHK32
HUB娱家,http://api.mytv666.top/api/qwt.php?t=国外频道&id=娱家台
HUB都会,http://api.mytv666.top/api/qwt.php?t=国外频道&id=都会台
Ftv1时代,http://api.mytv666.top/api/qwt.php?t=国外频道&id=新时代1
Ftv2时代,http://api.mytv666.top/api/qwt.php?t=国外频道&id=新时代2
城市电视,http://api.mytv666.top/api/qwt.php?t=国外频道&id=城市电视
天映经典,http://api.mytv666.top/api/qwt.php?t=香港频道&id=天映经典
天映经典国,http://api.mytv666.top/api/qwt.php?t=香港频道&id=天映频道(粤)
天映经典粤,http://api.mytv666.top/api/qwt.php?t=香港频道&id=天映频道(国)
美亚电影国,http://api.mytv666.top/api/qwt.php?t=香港频道&id=美亚电影(国)
美亚电影粤,http://api.mytv666.top/api/qwt.php?t=香港频道&id=美亚电影(粤)
中国电影,http://api.mytv666.top/api/qwt.php?t=香港频道&id=中国电影频道
